Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
MUNICIPIO DE LA PLATA;891180155;Huila;La Plata;;
UNIDAD DE INFORMACION Y ANALISIS FINANCIERO;830068074;Distrito Capital de Bogotá;Bogotá;;
FONDANE - DIR TER NOROCCIDENTE;800072977;Antioquia;Medellín;;
CORPORACIÓN SOCIAL DE CUNDINAMARCA;899999421;Distrito Capital de Bogotá;Bogotá;;
MINISTERIO DE JUSTICIA Y DEL DERECHO;900457461;No Definido;No Definido;;
UAE FONDO NACIONAL DE ESTUPEFACIENTES;899999327;No Definido;No Definido;;
instituto de transito y Transporte de Cienaga Magdalena;819004646;Magdalena;Ciénaga;;
CONTRALORIA GENERAL DEL DEPARTAMENTO DEL PUTUMAYO;800193022;Putumayo;Mocoa;;
Rama Judicial  Dirección Seccional de Administración Judicial de Cúcuta;800165874;Norte de Santander;Cúcuta;;
SENA REGIONAL CALDAS CENTRO DE COMERCIO Y SERVICIOS;899999034;Caldas;Manizales;;
UNIVERSIDAD NACIONAL DE COLOMBIA;899999063;Distrito Capital de Bogotá;Bogotá;;
METRO CALI S.A;805013171;No Definido;No Definido;;
ARMADA NACIONAL BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No 4;800141667;Nariño;Tumaco;;
ALCALDIA MUNICIPAL DE RICAURTE;800099127;Nariño;Ricaurte;;
INSTITUCION EDUCATIVA TECNICA ENRIQUE OLAYA HERRERA;800191549;Boyacá;Guateque;;
UNIDAD ADMINISTRATIVA ESPECIAL PARA LA GESTION DEL RIESGO DE DESASTRES DE CUNDINAMARCA;899999114;Distrito Capital de Bogotá;No Definido;;
INSTITUTO MUNICIPAL DE DEPORTES; RECREACION Y CULTURA;802014605;Atlántico;Ponedera;
I.D.E.R.F.;890680338;Cundinamarca;Fusagasugá;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE SEVILLA - INPEC;821000631;Valle del Cauca;Sevilla;;
UNIDAD PRESTADORA DE SALUD HUILA;901362454;Huila;Neiva;;
ALCALDIA MUNICIPIO DE GARZON;891180022;No Definido;No Definido;;
UNIDAD ADMINISTRATIVA ESPECIAL UNIDAD DE PROYECCION NORMATIVA Y ESTUDIOS DE REGULACION FINANCIERA;900657800;Distrito Capital de Bogotá;Bogotá;;
ALCALDIA DE CIUDAD BOLIVAR;890980330;No Definido;No Definido;;
MUNICIPIO DE SAN MATEO;891857821;No Definido;No Definido;;
PERSONERÍA MUNICIPAL DE COGUA;899999466;Cundinamarca;Cogua;;
AGENCIA NACIONAL DE TIERRAS;900948953;No Definido;No Definido;;
DEPARTAMENTO DE CUNDINAMARCA - SECRETARÍA DE ASUNTOS INTERNACIONALES;899999114;No Definido;No Definido;;
FONDO NACIONAL DE VIVIENDA;830121208;Distrito Capital de Bogotá;Bogotá;;
PARQUES NACIONALES NATURALES DE COLOMBIA-SUBCUENTA FONDO NACIONAL AMBIENTAL;901037393;No Definido;No Definido;;
ALCALDÍA MUNICIPAL  DE SOACHA;800094755;Cundinamarca;Soacha;;
SENA REGIONAL CASANARE Grupo Administrativo Mixto;899999034;Casanare;Yopal;;
POLICIA METROPOLITANA DE CARTAGENA DE INDIAS;900149064;Bolívar;Cartagena;;
